Model,Accuracy,Macro F1,F1 (High),F1 (Low),F1 (Medium)
Logistic Regression,0.8226027397260274,0.8218790150036276,0.8807269973494888,0.8590522478736331,0.7258577997877609
Random Forest,0.8210045662100457,0.8215437855718069,0.8801512287334594,0.8543870566272558,0.7300930713547052
CatBoost,0.8221461187214611,0.8214011156774096,0.8817771084337349,0.8576653459311185,0.7247608926673751
Decision Tree,0.8102739726027397,0.8112378981516212,0.8719285182427401,0.8433121019108281,0.7184730743012951
XGBoost,0.8091324200913242,0.8068199074419092,0.8745304282494365,0.8488822652757079,0.6970470288005833
LightGBM,0.8082191780821918,0.8047609258253366,0.8744049798608569,0.8487394957983193,0.6911383018168336
Gradient Boosting,0.8059360730593608,0.8023801839663866,0.8720029509406123,0.8484486873508353,0.6866889136077122
